interactionID	basisOfRecord	sourceTaxonId	sourceTaxonName	sourceVerbatimName	sourceFamilyName	sourceCommonName	sourceSexName	sourceSexID	sourceLifeStageName	sourceAssociatedSequences	interactionTypeId	isNegated	interactionTypeName	targetBodyPartName	targetBodyPartId	experimentalConditionName	experimentalConditionId	targetTaxonId	targetTaxonName	targetVerbatimName	targetFamilyName	targetCommonName	targetLifeStageName	targetAssociatedSequences	country	stateProvince	county	verbatimLocality	localityId	locality	habitat	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	georeferenceRemarks	minimumElevationInMeters	maximumElevationInMeters	verbatimEventDate	eventDate	eventTime	otherTraits	referenceDoi	referenceCitation	referenceType	primarySource	enteredBy	notes
2420	literatureRecord	https://www.gbif.org/species/1343206	Lisotrigona furva		Apidae						http://purl.obolibrary.org/obo/OMIT_0005582		drinking	eye	http://purl.obolibrary.org/obo/OMIT_0006347	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/2436436	Homo sapiens	man	Hominidae	Human	Adult		Thailand	Chiang Mai		garden of new residence of HB 350 m a.s.l., NW of Chiang Mai town		garden of new residence of HB 350 m a.s.l., NW of Chiang Mai town	seasonally dry and in everwet climates, in primary and secondary forests, and in more or less synanthropic habitats						350	December 2007 - November 2008	2007-12-01/2008-11-01			10.2317/jkes0811.17.1	Bänziger, H., Boongird, S., Sukumalanand, P., & Bänziger, S. (2009). Bees (Hymenoptera: Apidae) That Drink Human Tears. Journal of the Kansas Entomological Society, 82(2), 135–150. https://doi.org/10.2317/jkes0811.17.1		TRUE	zachary_brown	
2421	literatureRecord	https://www.gbif.org/species/1343206	Lisotrigona furva		Apidae						http://purl.obolibrary.org/obo/OMIT_0005582		drinking	eye	http://purl.obolibrary.org/obo/OMIT_0006347	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/2436436	Homo sapiens	man	Hominidae	Human	Adult		Thailand	Mae Hong Son		about 20 km W of Pang Ma Pha village, 720 m a.s.l.		about 20 km W of Pang Ma Pha village, 720 m a.s.l.	seasonally dry and in everwet climates, in primary and secondary forests, and in more or less synanthropic habitats						720	December 2007 - November 2008	2007-12-01/2008-11-01			10.2317/jkes0811.17.1	Bänziger, H., Boongird, S., Sukumalanand, P., & Bänziger, S. (2009). Bees (Hymenoptera: Apidae) That Drink Human Tears. Journal of the Kansas Entomological Society, 82(2), 135–150. https://doi.org/10.2317/jkes0811.17.1		TRUE	zachary_brown	
2422	literatureRecord	https://www.gbif.org/species/1343206	Lisotrigona furva		Apidae						http://purl.obolibrary.org/obo/OMIT_0005582		drinking	eye	http://purl.obolibrary.org/obo/OMIT_0006347	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/2436436	Homo sapiens	man	Hominidae	Human	Adult		Thailand	Chumphon		Phato, 300 m a.s.l		Phato, 300 m a.s.l	seasonally dry and in everwet climates, in primary and secondary forests, and in more or less synanthropic habitats						300	December 2007 - November 2008	2007-12-01/2008-11-01			10.2317/jkes0811.17.1	Bänziger, H., Boongird, S., Sukumalanand, P., & Bänziger, S. (2009). Bees (Hymenoptera: Apidae) That Drink Human Tears. Journal of the Kansas Entomological Society, 82(2), 135–150. https://doi.org/10.2317/jkes0811.17.1		TRUE	zachary_brown	
2423	literatureRecord	https://www.gbif.org/species/1343206	Lisotrigona furva		Apidae						http://purl.obolibrary.org/obo/OMIT_0005582		drinking	eye	http://purl.obolibrary.org/obo/OMIT_0006347	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/2436436	Homo sapiens	man	Hominidae	Human	Adult		Thailand	Phang Nga		hills above Phang Nga		hills above Phang Nga	seasonally dry and in everwet climates, in primary and secondary forests, and in more or less synanthropic habitats							December 2007 - November 2008	2007-12-01/2008-11-01			10.2317/jkes0811.17.1	Bänziger, H., Boongird, S., Sukumalanand, P., & Bänziger, S. (2009). Bees (Hymenoptera: Apidae) That Drink Human Tears. Journal of the Kansas Entomological Society, 82(2), 135–150. https://doi.org/10.2317/jkes0811.17.1		TRUE	zachary_brown	
2424	literatureRecord	https://www.gbif.org/species/1343206	Lisotrigona furva		Apidae						http://purl.obolibrary.org/obo/OMIT_0005582		drinking	eye	http://purl.obolibrary.org/obo/OMIT_0006347	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/2436436	Homo sapiens	man	Hominidae	Human	Adult		Thailand	Chiang Mai		near Ton Luang Temple, 760 m a.s.l Chiang Dao		near Ton Luang Temple, 760 m a.s.l Chiang Dao	seasonally dry and in everwet climates, in primary and secondary forests, and in more or less synanthropic habitats						760	December 2007 - November 2008	2007-12-01/2008-11-01			10.2317/jkes0811.17.1	Bänziger, H., Boongird, S., Sukumalanand, P., & Bänziger, S. (2009). Bees (Hymenoptera: Apidae) That Drink Human Tears. Journal of the Kansas Entomological Society, 82(2), 135–150. https://doi.org/10.2317/jkes0811.17.1		TRUE	zachary_brown	
2425	literatureRecord	https://www.gbif.org/species/1343206	Lisotrigona furva		Apidae						http://purl.obolibrary.org/obo/OMIT_0005582		drinking	eye	http://purl.obolibrary.org/obo/OMIT_0006347	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/2436436	Homo sapiens	man	Hominidae	Human	Adult		Thailand	Pang Ma Pha		Pang Ma Pha village, 590 m a.s.l		Pang Ma Pha village, 590 m a.s.l	seasonally dry and in everwet climates, in primary and secondary forests, and in more or less synanthropic habitats						590	December 2007 - November 2008	2007-12-01/2008-11-01			10.2317/jkes0811.17.1	Bänziger, H., Boongird, S., Sukumalanand, P., & Bänziger, S. (2009). Bees (Hymenoptera: Apidae) That Drink Human Tears. Journal of the Kansas Entomological Society, 82(2), 135–150. https://doi.org/10.2317/jkes0811.17.1		TRUE	zachary_brown	
2426	literatureRecord	https://www.gbif.org/species/1339541	Pariotrigona klossi		Apidae						http://purl.obolibrary.org/obo/OMIT_0005582		drinking	eye	http://purl.obolibrary.org/obo/OMIT_0006347	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/2436436	Homo sapiens	man	Hominidae	Human	Adult		Thailand	Phang Nga		hills above Phang Nga		hills above Phang Nga	primary evergreen forests on limestone							December 2007 - November 2008	2007-12-01/2008-11-01			10.2317/jkes0811.17.1	Bänziger, H., Boongird, S., Sukumalanand, P., & Bänziger, S. (2009). Bees (Hymenoptera: Apidae) That Drink Human Tears. Journal of the Kansas Entomological Society, 82(2), 135–150. https://doi.org/10.2317/jkes0811.17.1		TRUE	zachary_brown	
2427	literatureRecord	https://www.gbif.org/species/1343206	Lisotrigona furva		Apidae						http://purl.obolibrary.org/obo/RO_0002618		visits			in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/5658596	Tetrastigma baenzigerii		Vitaceae	Liana			Thailand													December 2007 - November 2008	2007-12-01/2008-11-01			10.2317/jkes0811.17.1	Bänziger, H., Boongird, S., Sukumalanand, P., & Bänziger, S. (2009). Bees (Hymenoptera: Apidae) That Drink Human Tears. Journal of the Kansas Entomological Society, 82(2), 135–150. https://doi.org/10.2317/jkes0811.17.1		TRUE	zachary_brown	
2428	literatureRecord	https://www.gbif.org/species/1343206	Lisotrigona furva		Apidae						http://purl.obolibrary.org/obo/RO_0002618		visits			in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/5658426	Tetrastigma hookeri		Vitaceae	Liana			Thailand													December 2007 - November 2008	2007-12-01/2008-11-01			10.2317/jkes0811.17.1	Bänziger, H., Boongird, S., Sukumalanand, P., & Bänziger, S. (2009). Bees (Hymenoptera: Apidae) That Drink Human Tears. Journal of the Kansas Entomological Society, 82(2), 135–150. https://doi.org/10.2317/jkes0811.17.1		TRUE	zachary_brown	
2429	literatureRecord		Pachyhalictus burmanus		Halictidae						http://purl.obolibrary.org/obo/RO_0002455		pollinates			in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/5658596	Tetrastigma baenzigerii		Vitaceae	Liana			Thailand																	10.2317/jkes0811.17.1	Bänziger, H., Boongird, S., Sukumalanand, P., & Bänziger, S. (2009). Bees (Hymenoptera: Apidae) That Drink Human Tears. Journal of the Kansas Entomological Society, 82(2), 135–150. https://doi.org/10.2317/jkes0811.17.1		FALSE	zachary_brown	
